#1 Substructure containing monopile, transition piece and equivalent beam
r        	m        	x_cg     	y_cg     	ri_x     	ri_y     	x_sh     	y_sh     	E        	G        	I_x      	I_y      	I_p      	k_x      	k_y      	A        	pitch    	x_e      	y_e      
$1 102
0.000    	9617.986 	0.000    	0.000    	1.379    	1.379    	0.000    	0.000    	210000000000.000	80769230769.231	2.331    	2.331    	4.662    	0.500    	0.500    	1.225    	0.000    	0.000    	0.000    
2.260    	9617.986 	0.000    	0.000    	1.379    	1.379    	0.000    	0.000    	210000000000.000	80769230769.231	2.331    	2.331    	4.662    	0.500    	0.500    	1.225    	0.000    	0.000    	0.000    
3.500    	9617.986 	0.000    	0.000    	1.379    	1.379    	0.000    	0.000    	210000000000.000	80769230769.231	2.331    	2.331    	4.662    	0.500    	0.500    	1.225    	0.000    	0.000    	0.000    
4.740    	9617.986 	0.000    	0.000    	1.379    	1.379    	0.000    	0.000    	210000000000.000	80769230769.231	2.331    	2.331    	4.662    	0.500    	0.500    	1.225    	0.000    	0.000    	0.000    
6.789    	9617.986 	0.000    	0.000    	1.379    	1.379    	0.000    	0.000    	210000000000.000	80769230769.231	2.331    	2.331    	4.662    	0.500    	0.500    	1.225    	0.000    	0.000    	0.000    
8.838    	9617.986 	0.000    	0.000    	1.379    	1.379    	0.000    	0.000    	210000000000.000	80769230769.231	2.331    	2.331    	4.662    	0.500    	0.500    	1.225    	0.000    	0.000    	0.000    
10.838   	7259.730 	0.000    	0.000    	1.388    	1.388    	0.000    	0.000    	210000000000.000	80769230769.231	1.782    	1.782    	3.563    	0.500    	0.500    	0.925    	0.000    	0.000    	0.000    
12.838   	7259.730 	0.000    	0.000    	1.388    	1.388    	0.000    	0.000    	210000000000.000	80769230769.231	1.782    	1.782    	3.563    	0.500    	0.500    	0.925    	0.000    	0.000    	0.000    
14.838   	6021.254 	0.000    	0.000    	1.392    	1.392    	0.000    	0.000    	210000000000.000	80769230769.231	1.487    	1.487    	2.975    	0.500    	0.500    	0.767    	0.000    	0.000    	0.000    
16.838   	6021.254 	0.000    	0.000    	1.392    	1.392    	0.000    	0.000    	210000000000.000	80769230769.231	1.487    	1.487    	2.975    	0.500    	0.500    	0.767    	0.000    	0.000    	0.000    
18.838   	6307.796 	0.000    	0.000    	1.391    	1.391    	0.000    	0.000    	210000000000.000	80769230769.231	1.556    	1.556    	3.111    	0.500    	0.500    	0.804    	0.000    	0.000    	0.000    
20.838   	6307.796 	0.000    	0.000    	1.391    	1.391    	0.000    	0.000    	210000000000.000	80769230769.231	1.556    	1.556    	3.111    	0.500    	0.500    	0.804    	0.000    	0.000    	0.000    
22.838   	6689.161 	0.000    	0.000    	1.390    	1.390    	0.000    	0.000    	210000000000.000	80769230769.231	1.646    	1.646    	3.293    	0.500    	0.500    	0.852    	0.000    	0.000    	0.000    
24.838   	6689.161 	0.000    	0.000    	1.390    	1.390    	0.000    	0.000    	210000000000.000	80769230769.231	1.646    	1.646    	3.293    	0.500    	0.500    	0.852    	0.000    	0.000    	0.000    
26.838   	7544.348 	0.000    	0.000    	1.387    	1.387    	0.000    	0.000    	210000000000.000	80769230769.231	1.849    	1.849    	3.697    	0.500    	0.500    	0.961    	0.000    	0.000    	0.000    
28.838   	7544.348 	0.000    	0.000    	1.387    	1.387    	0.000    	0.000    	210000000000.000	80769230769.231	1.849    	1.849    	3.697    	0.500    	0.500    	0.961    	0.000    	0.000    	0.000    
30.838   	8678.383 	0.000    	0.000    	1.383    	1.383    	0.000    	0.000    	210000000000.000	80769230769.231	2.114    	2.114    	4.228    	0.500    	0.500    	1.106    	0.000    	0.000    	0.000    
32.838   	8678.383 	0.000    	0.000    	1.383    	1.383    	0.000    	0.000    	210000000000.000	80769230769.231	2.114    	2.114    	4.228    	0.500    	0.500    	1.106    	0.000    	0.000    	0.000    
34.838   	10272.773	0.000    	0.000    	1.377    	1.377    	0.000    	0.000    	210000000000.000	80769230769.231	2.481    	2.481    	4.962    	0.500    	0.500    	1.309    	0.000    	0.000    	0.000    
36.838   	10272.773	0.000    	0.000    	1.377    	1.377    	0.000    	0.000    	210000000000.000	80769230769.231	2.481    	2.481    	4.962    	0.500    	0.500    	1.309    	0.000    	0.000    	0.000    
38.838   	10645.853	0.000    	0.000    	1.376    	1.376    	0.000    	0.000    	210000000000.000	80769230769.231	2.566    	2.566    	5.132    	0.500    	0.500    	1.356    	0.000    	0.000    	0.000    
40.838   	10645.853	0.000    	0.000    	1.376    	1.376    	0.000    	0.000    	210000000000.000	80769230769.231	2.566    	2.566    	5.132    	0.500    	0.500    	1.356    	0.000    	0.000    	0.000    
42.838   	11018.143	0.000    	0.000    	1.374    	1.374    	0.000    	0.000    	210000000000.000	80769230769.231	2.650    	2.650    	5.301    	0.500    	0.500    	1.404    	0.000    	0.000    	0.000    
44.838   	11018.143	0.000    	0.000    	1.374    	1.374    	0.000    	0.000    	210000000000.000	80769230769.231	2.650    	2.650    	5.301    	0.500    	0.500    	1.404    	0.000    	0.000    	0.000    
46.838   	12037.871	0.000    	0.000    	1.370    	1.370    	0.000    	0.000    	210000000000.000	80769230769.231	2.880    	2.880    	5.760    	0.500    	0.500    	1.533    	0.000    	0.000    	0.000    
