#1 Cross-sectional data for tower from interface to tower top
r        	m        	x_cg     	y_cg     	ri_x     	ri_y     	x_sh     	y_sh     	E        	G        	I_x      	I_y      	I_p      	k_x      	k_y      	A        	pitch    	x_e      	y_e      
$1 67
0.000    	9985.611 	0.000    	0.000    	2.810    	2.810    	0.000    	0.000    	210000000000.000	80769230769.231	10.023   	10.023   	20.046   	0.500    	0.500    	1.272    	0.000    	0.000    	0.000    
0.225    	9985.611 	0.000    	0.000    	2.804    	2.804    	0.000    	0.000    	210000000000.000	80769230769.231	10.023   	10.023   	20.046   	0.500    	0.500    	1.272    	0.000    	0.000    	0.000    
1.295    	9973.474 	0.000    	0.000    	2.804    	2.804    	0.000    	0.000    	210000000000.000	80769230769.231	9.987    	9.987    	19.973   	0.500    	0.500    	1.271    	0.000    	0.000    	0.000    
2.500    	9389.448 	0.000    	0.000    	2.804    	2.804    	0.000    	0.000    	210000000000.000	80769230769.231	9.407    	9.407    	18.814   	0.500    	0.500    	1.196    	0.000    	0.000    	0.000    
3.100    	9388.096 	0.000    	0.000    	2.804    	2.804    	0.000    	0.000    	210000000000.000	80769230769.231	9.403    	9.403    	18.806   	0.500    	0.500    	1.196    	0.000    	0.000    	0.000    
3.200    	9387.572 	0.000    	0.000    	2.804    	2.804    	0.000    	0.000    	210000000000.000	80769230769.231	9.401    	9.401    	18.803   	0.500    	0.500    	1.196    	0.000    	0.000    	0.000    
3.745    	9387.089 	0.000    	0.000    	2.804    	2.804    	0.000    	0.000    	210000000000.000	80769230769.231	9.400    	9.400    	18.800   	0.500    	0.500    	1.196    	0.000    	0.000    	0.000    
6.195    	9386.681 	0.000    	0.000    	2.804    	2.804    	0.000    	0.000    	210000000000.000	80769230769.231	9.399    	9.399    	18.798   	0.500    	0.500    	1.196    	0.000    	0.000    	0.000    
8.595    	8411.765 	0.000    	0.000    	2.804    	2.804    	0.000    	0.000    	210000000000.000	80769230769.231	8.428    	8.428    	16.857   	0.500    	0.500    	1.072    	0.000    	0.000    	0.000    
10.995   	7628.794 	0.000    	0.000    	2.804    	2.804    	0.000    	0.000    	210000000000.000	80769230769.231	7.643    	7.643    	15.286   	0.500    	0.500    	0.972    	0.000    	0.000    	0.000    
13.395   	7431.638 	0.000    	0.000    	2.804    	2.804    	0.000    	0.000    	210000000000.000	80769230769.231	7.442    	7.442    	14.884   	0.500    	0.500    	0.947    	0.000    	0.000    	0.000    
15.795   	7236.114 	0.000    	0.000    	2.804    	2.804    	0.000    	0.000    	210000000000.000	80769230769.231	7.246    	7.246    	14.493   	0.500    	0.500    	0.922    	0.000    	0.000    	0.000    
16.000   	7040.953 	0.000    	0.000    	2.804    	2.804    	0.000    	0.000    	210000000000.000	80769230769.231	7.052    	7.052    	14.104   	0.500    	0.500    	0.897    	0.000    	0.000    	0.000    
18.195   	7040.554 	0.000    	0.000    	2.804    	2.804    	0.000    	0.000    	210000000000.000	80769230769.231	7.051    	7.051    	14.101   	0.500    	0.500    	0.897    	0.000    	0.000    	0.000    
20.595   	6845.102 	0.000    	0.000    	2.804    	2.804    	0.000    	0.000    	210000000000.000	80769230769.231	6.855    	6.855    	13.710   	0.500    	0.500    	0.872    	0.000    	0.000    	0.000    
22.995   	6649.612 	0.000    	0.000    	2.804    	2.804    	0.000    	0.000    	210000000000.000	80769230769.231	6.659    	6.659    	13.319   	0.500    	0.500    	0.847    	0.000    	0.000    	0.000    
25.795   	6454.116 	0.000    	0.000    	2.804    	2.804    	0.000    	0.000    	210000000000.000	80769230769.231	6.464    	6.464    	12.928   	0.500    	0.500    	0.822    	0.000    	0.000    	0.000    
